p,a,b,j,trace,order,aut_order,fb_m2,fb_m3,n_targets,hits_m2,hits_m3,order,full_liftable,liftable_density_W187,liftable_density_W375,liftable_density_W750,liftable_density_W1501,liftable_density_W3003,liftable_density_W6007,two_torsion_x,sumset_m2,sumset_m3,sumset_eff_m2,sumset_eff_m3,decomp_rate_m2,decomp_rate_m3,decomp_efficiency_m2,decomp_efficiency_m3,s3_support,liftable_identity_holds
6007,1934,3868,2663,8,6000,2,40,13,400,153,148,6000,3000,0.5187165775401069,0.48,0.49066666666666664,0.5123251165889408,0.4925074925074925,0.49941734642916596,1,2592,2338,0.8,0.7136752136752137,0.3825,0.37,0.7083333333333334,0.6776556776556777,13,True
6007,1647,3294,2669,8,6000,2,40,13,400,153,163,6000,3001,0.4117647058823529,0.43733333333333335,0.472,0.49300466355762823,0.5078255078255078,0.4995838188779757,3,2480,2295,0.7654320987654321,0.7005494505494505,0.3825,0.4075,0.7083333333333334,0.7463369963369964,13,True
6007,3023,13,2699,8,6000,2,40,13,400,173,143,6000,3001,0.5454545454545454,0.5306666666666666,0.524,0.49633577614923385,0.49417249417249415,0.4995838188779757,3,2460,2034,0.7592592592592593,0.6208791208791209,0.4325,0.3575,0.8009259259259259,0.6547619047619048,13,True
6007,5900,1931,2702,8,6000,2,40,13,400,159,169,6000,3001,0.4117647058823529,0.44533333333333336,0.4866666666666667,0.4983344437041972,0.5004995004995005,0.4995838188779757,3,2471,2389,0.7626543209876543,0.7292429792429792,0.3975,0.4225,0.7361111111111112,0.7738095238095238,13,True
6007,264,176,2721,8,6000,2,40,13,400,164,153,6000,3001,0.5454545454545454,0.49866666666666665,0.49466666666666664,0.491672218520986,0.4945054945054945,0.4995838188779757,3,2540,2373,0.7839506172839507,0.7243589743589743,0.41,0.3825,0.7592592592592593,0.7005494505494505,13,True
6007,5611,5743,2750,8,6000,2,40,13,400,162,156,6000,3001,0.6256684491978609,0.56,0.5306666666666666,0.5176548967355097,0.5051615051615052,0.4995838188779757,3,2551,2461,0.7873456790123456,0.7512210012210012,0.405,0.39,0.75,0.7142857142857143,13,True
6007,1843,3231,2773,8,6000,2,40,13,400,187,129,6000,3001,0.48128342245989303,0.4826666666666667,0.48533333333333334,0.49633577614923385,0.49983349983349984,0.4995838188779757,3,2557,2340,0.7891975308641975,0.7142857142857143,0.4675,0.3225,0.8657407407407407,0.5906593406593407,13,True
6007,4893,3262,2787,8,6000,2,40,13,400,179,155,6000,3001,0.44919786096256686,0.4746666666666667,0.48533333333333334,0.4890073284477015,0.5004995004995005,0.4995838188779757,3,2555,2369,0.7885802469135802,0.7231379731379731,0.4475,0.3875,0.8287037037037037,0.7097069597069597,13,True
6007,195,130,2794,8,6000,2,40,13,400,155,180,6000,3001,0.5240641711229946,0.504,0.4826666666666667,0.5003331112591606,0.48917748917748916,0.4995838188779757,3,2507,2425,0.7737654320987655,0.7402319902319903,0.3875,0.45,0.7175925925925926,0.8241758241758241,13,True
6007,4481,985,2820,8,6000,2,40,13,400,177,169,6000,3001,0.48128342245989303,0.5066666666666667,0.5066666666666667,0.5003331112591606,0.49683649683649683,0.4995838188779757,3,2553,2196,0.787962962962963,0.6703296703296703,0.4425,0.4225,0.8194444444444444,0.7738095238095238,13,True
